,title,skill,address,skillAndExperience
0,ASP.NET Developer (C# .NET/SQL Server),"[
.NET

, 
SQL

, 
ASP.NET

]","
153 Ung Van Khiem, Ward 25, Binh Thanh District, Binh Thanh, Ho Chi Minh
See map

","

Working with young, healthy, ambitious and capable people.
Being trained if not experienced
Improve English by working and daily meetings.
Open, dynamic, colorful environment.
Many opportunities to learn, demonstrate ability and advance at work.
Have the opportunity to face many problems in programming and life that a big company you never have.
Good salary, bonus for 13 months and according to the project

"
1,Mid/Senior .NET Dev - $2800 (+Bonus),"[
.NET

, 
SQL

, 
English

]","
2 Nguyen The Loc, Ward 12, Tan Binh, Ho Chi Minh
See map

","
Competitive Salary and Brilliant Health Benefits
Attractive salary (13th-month salary, salary review twice/year) and project bonus
Bonus programs for candidate referral, technical article writing
Interest-free loan support for personal plan 
Allowance for sickness, maternity and paternity and Periodic health examination
PVI health care program 
The staff of the quarter and year reward
Progressive and Fun Working Environment
A professional English-speaking working environment with Agile – Scrum model
Hybrid Working Model: Flexible working time and WFH support. 
Surrounded with friendly, open-minded, young and supportive colleagues 
Annual company trip and regular team-building parties, party celebration (Christmas, Birthday, Mid-autumn,...), Sports clubs (football, badminton, swimming …)
Valuable Training
Sponsor examination fee for professional certificates (AWS, Azure, IELTS, PMP, Scrum Master,...)
Sponsor fee for joining any technical training sessions and courses
Weekly Tech-talk sessions from seniors

"
2,"Fulltime/Freelancer - Backend Dev (C#, .NET, NodeJS)","[
C#

, 
NodeJS

, 
.NET

]","
Tầng 2, Indochina Riverside - 74 Bạch Đằng, Phường Hải Châu 1, Hai Chau, Da Nang
See map

","
Ngày nghỉ:Nghỉ lễ, nghỉ phép, nghỉ việc riêng có hưởng lương theo quy định nhà nước, nghỉ quốc khánh MỹPhụ cấp,thưởng:Cơm trưa, xăng xe, nhà ở, con nhỏ, điện thoại, nội quy, chuyên cần, lương tháng 13+KPIBảo Hiểm:Bảo hiểm xã hội đóng nguyên lương. Bảo hiểm y tế, bảo hiểm sức khỏe cho bản thân + 2 người thân (tùy cấp bậc)(parking and transit)Học hỏi và phát triển:Chương trình đào tạo và phát triển kỹ năng chuyên môn, kỹ năng mềm hàng nămVị trí thuận lợi:Văn phòng hiện đại ngay trung tâm thành phố, view sông Hàn thơ mộng, cách nhà máy 30 phút đi ô tôChương trình CSR:Chương trình từ thiện, hỗ trợ giáo dục, hỗ trợ cộng đồng hằng nămHoạt động kết nối:Hội thao, Teambuilding, Ngày hội gia đình, Gala dinner,...Ăn uống:Cafe miễn phí, căng tin với các loại thức ăn phong phú
"
3,".Net Developer (.NETCore, C#)","[
.NET

, 
C#

, 
NodeJS

]","
Lotte Tower, 54 Lieu Giai, Ba Dinh, Ha Noi
See map

","
Panasonic R&D Center Vietnam was established in April 2007, is a company specializing in R&D of Panasonic Group in Vietnam with the aim of enhancing R&D activities in the field of digital home appliances, automation, mobility in Vietnam, providing R&D services for software solutions in today's hottest fields such as AI, Cloud, IoT in a chain of R&D centers of worldwide corporations 1. Career Path Development• Long-term multi-career roadmap;• Learning & development (Language Training, Technical Training, Soft-skill Training, On-job Training, etc.)• Oversea business trips (Japan, China, Singapore, US, Mexico, EU, etc.)2. Work-life Balance• Flexible working time that supports work-life balance (Core time: 9:00-16:00; 5 days from Monday - Friday/ week)• Additional special holiday3. Compensation package• Attractive salary • Competitive bonus package depend on abilities, performance and competencies• Diversified allowance scheme4. Wellness• Well-protected with 24/7 personal accident and medical care insurance;• Well-designed Annual Health Check-up program;5. Activities• Team-building activities; Birthday Party; Year-end party; Sport Day/ Family Day• Summer Vacation (Trip to famous tourist spots domestic/ overseas,…)
"
4,"Sign in bonus - C#, .NET, Angular Dev -Upto 2000$","[
C#

, 
.NET

, 
Angular

]","
Hoa Binh Tower, 106 Hoang Quoc Viet, Nghia Do, Cau Giay, Ha Noi
See map

","
Thu nhập cạnh tranh và nhiều cơ hội phát triển:***Thưởng gia nhập 1 tháng lương cho ứng viên tự ứng tuyển• Thưởng Tết, thưởng Thành tích, thưởng kết quả kinh doanh (2~3 lần /năm)• Thanh toán OT theo quy định của luật lao động• Lớp học tiếng Nhật miễn phí trong giờ làm việc• Có cơ hội đi onsite ngắn và dài hạn, hỗ trợ người thân đi cùng nhân viên onsiteTrợ cấp và chế độ:• Tham gia bảo hiểm full lương + Bảo hiểm mở rộng• Trợ cấp ăn trưa, trợ cấp trang phục, trợ cấp đi lại, trợ cấp tiếng Nhật• Ngày phép: 13 ngày/năm; thâm niên trên 5 năm được nghỉ 18 ngày/ năm• Hỗ trợ nhân viên nữ nhận 100% lương trong thời kì nghỉ sinh và hỗ trợ tiền taxi đi làm• Du lịch công ty hàng năm hoạt động giải trí và Teambuilding phong phú (Câu lạc bộ Bóng đá, Cầu lông, Tenis được công ty tài trợ...)
"
5,"4 .NET Dev (C#, Angular) Up to $2000","[
.NET

, 
C#

, 
Angular

]","
Tòa nhà Bưu điện Đại Kim, Lô 14 Nguyễn Cảnh Dị, Đại Kim, Hoang Mai, Ha Noi
See map

","

Mức lương cạnh tranh đến 1500$/ tháng + phụ cấp hấp dẫn 
Thưởng dự án, lương tháng 13.
Cơ hội được đào tạo và thăng tiến tốt trong công việc
Môi trường năng động cho phép phát huy tối đa khả năng và tính sáng tạo trong công việc.
Đóng BHXH, BHYT đầy đủ theo quy định của nhà nước.
Du lịch nghỉ mát hàng năm 
Khám sức khỏe toàn diện định kỳ.
LÝ DO CHỌN BAGPS
Làm việc trong môi trường năng động, tiếp xúc với công nghệ mới như AI, hệ thống lớn, IoT, giao thông thông minh...,
Đồng nghiệp trẻ trung, hòa đồng, vui vẻ,...
Được đào tạo thêm nhiều kỹ năng chuyên môn khác.
Cơ hội thăng tiến cao
CÔNG TYBA GPS được thành lập năm 2007. Sau hơn một thập kỷ không ngừng nỗ lực phát triển, chúng tôi đã có trên 600 CBNV, các văn phòng đại diện tại và hàng trăm đại lý 
"
6,Mid/Sr .NET Dev (ASP.NET/ JavaScript),"[
.NET

, 
JavaScript

, 
ASP.NET

]","
51 Hoang Viet, Tan Binh, Ho Chi Minh
See map

","
Insurance and Salary
Vietnam labor regulations
Healthy Insurance
Competitive and high salary
Review salary twice a year (April and October (exceptional))
13th month-salary
Reward of the end the year
Raised on for achieving English and Technical certificates
Training and Onsite
Onsite opportunity (Singapore or Australia)
Trained to achieve MCP/MCSA/MCSD to follow Microsoft Learning Path: Application Development, Cloud Platform.
Trained soft skills every week via courses.
Dedicated MSDN account provided, and $150 monthly Azure credit
Career Path
Clear Career Path
Projects in many domain
Everyone is willing to support each other.
Activities
Office happy hours, Teambuilding, Company trip, Wedding, Birthday, …
Sport clubs: soccer, badminton, games, …

"
7,"Urgent - .NET Web Dev (ASP.NET, C#)","[
.NET

, 
ASP.NET

, 
C#

, 
Fresher Accepted

]","
165 Thái Hà, Dong Da, Ha Noi
See map

","

5 working days /week with flexible working time and no overtime;
Annual luxury Kick-off vacation;
International, professional, creative working environment and talented teams
Onsite opportunities in Europe and US;
Common cultural-sportive- art Clubs and activities, sponsored and/or supported by the Company (Ex: Football, GYM, Swimming, Guitar, English…).
Powerful workstation: Core i7-9700, 16-32 GB RAM, 02 x QHD 2560x1440 monitors (2K resolution);
100% official salary during the probation period, 13th month salary, annual salary raise;
12 days of annual leave and 3 days of company holidays (New Year eve 31/12, Junteenth day 18/6, Work anniversary).
Up to 03 extra paid-leave days per year 
A free “Hacking day” per month for self-studying and researching any IT-related subjects;
Social, Health and Unemployed Insurance are based on 100% Gross salary and fully paid by Company;
Extra bonus at $ 60 per special occasions (Birthday, Labor Day, National Day, Solar New year, Lunar New Year);
Lunch allowance at $30 per month;
Baby allowance for a child under 03 years old is $ 12 per month;
AON Premium Healthcare Insurance package for employees and their children up to 18 years old.
Daily various foods, drink, and seasonal fresh fruits;
And many other benefits, let's join us to discover!
"
8,Middle/ Senior Developer (Java/ .NET),"[
Java

, 
.NET

, 
Angular

]","
Tầng 9 - Etown 3, 364 Cộng Hòa, phường 13, Tan Binh, Ho Chi Minh
See map

","

Working time: Mon-Fri, Hybrid working mode (2 days WFH)
13th month of salary & Excellent bonuses (2 times PER year, up to 4 months of salary) 
Special allowance for foreign language certificate (up to 500USD/month)
Up to 19 days of paid leave.
Free Japanese class. Great opportunity to improve your English and Japanese
Premium international healthcare insurance (Aon insurance)
Full social package (SI, HI, UI) with the company, and the law of Vietnam.
Many company activities to tighten the relationship between employees: Company trip, Year-end party, Team building...
Reward Most Valuable Person (MVP), Most Valuable Team (MVT) team twice a year.
Sports clubs provided (100% sponsored by the company): Football, Badminton, Swimming
Professional environment with clear procedures and well-working facilities
Onsite opportunities: short-term and long-term assignments in Japan, APAC

"
9,"02 Backend Dev (.NET, ASP.NET, C#)","[
.NET

, 
C#

, 
ASP.NET

]","
Lầu 3 B8, 79/1 Hoàng Văn Thái, Tân Phú, District 7, Ho Chi Minh
See map

","
- Được trang bị đầy đủ máy tính, thiết bị mới.-  Mức lương hấp dẫn, chế độ tăng lương mỗi năm 1-2 lần.- Thưởng tất cả các ngày lễ, sinh nhật.- Lương tháng 13, 12 ngày phép năm. Chế độ bảo hiểm đẩy đủ theo quy định của nhà nước.- Party, team building.- Môi trường làm việc năng động, thoải mái. 
"
