,title,skill,address,skillAndExperience
0,".Net Developer (C#, Core)","[
.NET

, 
C#

, 
ASP.NET

]","
Tầng 3, 4 CIC Tower, Số 2 ngõ 219 Trung Kính, Cau Giay, Ha Noi
See map

","

Có từ ít nhất 1 năm kinh nghiệm trở lên
Thành thạo .NET (C#, ASP.NET), MVC5, SQL Server , Postgresql Server, CSS, Angular Javascript/Jquery, HTML
Có khả năng phân tích thiết kế hệ thống
Kỹ năng làm việc độc lập và theo nhóm tốt
Có sản phẩm/ dự án cụ thể là một lợi thế
Ưu tiên những ứng viên hiểu biết về Google Adwords API, , Cache…

"
1,"Junior/Middle Backend Dev (.NET, C#)","[
.NET

, 
C#

, 
SQL

]","
7 Floor, No. 1196 , 3/2 treet , Ward 8, District 11, Ho Chi Minh
See map

","
Học vấn, Kinh nghiệm:    - Tốt nghiệp Đại học/Cao đẳng chuyên ngành Công nghệ Thông tin.- Ít nhất 01 năm kinh nghiệm làm việc với EF, Dapper, Spring, mô hình MVC.- Ít nhất 01 năm kinh nghiệm  lập trình Back-end (C#, .NET Core, WebAPI),  Winform, DevExpress.Ưu tiên:- Ưu tiên có kinh nghiệm phát triển HIS, EMR.- Ưu tiên có kinh nghiệm về thiết kế CSDL và làm việc với MsSQL/MySQL/MongoDB. Kiến thức:- Nắm vững quy trình phát triển phần mềm.- Có kiến thức và tư duy lập trình hướng đối tượng (OOP) và vững về cấu trúc dữ liệu, thuật toán.         Kỹ năng & Năng lực:    - Chủ động, có trách nhiệm với công việc.- Kỹ năng giao tiếp và làm việc nhóm tốt.- Có khả năng làm việc dưới áp lực cao.                     
"
2,10 .Net Developer (ASP.Net) - Up to 2000$,"[
.NET

, 
ASP.NET

, 
C#

]","
86-88 Dinh Tien Hoang, Binh Thanh, Ho Chi Minh
See map

","
MUST HAVE :
A bachelor’s degree in a technical discipline or equivalent experience in the IT industry.
At least 1 years’ experience building desktop and web applications with minimum 6 months using .NET framework. OR Graduated from a prestigious university with GPA >= 7.0 / 10 (or 3 of 4.0 scale)
Have good knowledge about ASP.NET MVC, C#, JavaScript, CSS etc.
Good knowledge and experience with Relational Database: SQLServer
Experienced in Git and CI systems.
Comfortable working in a fast-paced environment
Good teamwork spirit and logical thinking.
Able to quickly manage new technologies.
NICE TO HAVE:
Have experience in .NET Core / NET6 / Docker / Kubernetes.
Have experience in Vue.js, Node.js.
Experienced in using PostgreSQL.

"
3,[All levels] Backend Developer (.Net/Golang),"[
.NET

, 
C#

, 
Golang

, 
Fresher Accepted

]","
29 Đường Tân Thuận (Tòa nhà FPT Tân Thuận), District 7, Ho Chi Minh
See map

","

Have knowledge in the following technologies: Linux, Docker, Kubernetes, Nginx, Git, Jenkins
Experience with one or more general purpose programming languages, including but not limited to: Golang (preferred)/.NET
Experience working on both relational and non-relational databases (MySQL, MongoDB) and comfortable with writing and maintaining performant SQL queries.
Experience working on Redis for caching/speeding up app performance.
Excellent working attitude, problem solving skill, critical thinking, and communication skill. 

"
4,.NET Developer (ASP.NET; C#) Up to 2200$,"[
.NET

, 
C#

, 
ASP.NET

]","
Duy Tan, Cau Giay, Ha Noi
See map

","

Lập trình thành thạo với ngôn ngữ C#
Có kiến thức sâu sắc về lập trình Web API
Đã từng phát triển micro services
Có kinh nghiệm thực tế về tối ưu code, review code
Biết lập trình frontend là lợi thế (JS, HTML, CSS)
Biết triển khai ứng dụng trên cloud (AWS, GPC, Azure) là lợi thế
Biết cấu hình, sử dụng các hệ thống CI/CD là lợi thế

"
5,".Net Developer (.NETCore, C#)","[
.NET

, 
C#

, 
NodeJS

]","
Lotte Tower, 54 Lieu Giai, Ba Dinh, Ha Noi
See map

","
Must have• Proficient in .NET/.NETCore• Proficient in Node.js 8.0+• Proficient in UI frameworks like JQuery/React• Experience with HTML and CSS development.• Strong Object-Oriented Programming and Development skills• Hands on of algorithm complexities and design patterns and multi-threading• In depth understanding in IPC utilities• Basic knowledge of PostgreSQL• Can use English (reading, writing, speaking)   2. Nice to have• Solid understanding of development, testing and integration methodologies• Knowledge of current and emerging IT products, services, and processes.• Broad understanding of programming logic concepts and application analysis and• design techniques.• Ability to communicate orally and in writing with both technical and non-technical• staff.• Ability to adapt to changing technology and priorities.• Strong analytical thinking skills.• Good planning, organizing, decision-making and problem-solving skills.• Thorough with careful attention to detail.
"
6,"5 Mid-level ASP.NET dev (.Net, ReactJS) ~ 1500$","[
.NET

, 
ASP.NET

, 
ReactJS

]","
8 Lê Quang Đạo, Nam Tu Liem, Ha Noi
See map

","
- Có 1-2 năm kinh nghiệm làm việc trên nền tảng .NET Core/.NET Framework (C#, ).- Hiểu biết các mô hình lập trình OOP, MVC, Web API, Clean architecture.- Tư duy lập trình, kỹ năng giải quyết vấn đề tốt.- Có kinh nghiệm lập trình Database với Entity Framework, SQL Server, Postgres- Sử dụng thành thạo các công cụ quản lý source code nhu Git, SVN  Ưu tiên:- Đã từng làm việc với 1 số thư viện hoặc framework JS như: ReactJs, Angular, VueJs- Có kiến thức cơ bản về microservice, distributed system, docker, CI-CD là lợi thế.- Có hiểu biết cơ bản về gRPC, RabbitMQ, API Gateway, MongoDB, Redis là lợi thế.- Hiểu biết về Agile scrum, unit test, integration test- Được đào tạo thêm các kiến thức trong quá trình làm việc.
"
7,"05 C# Developers (.NET, ASP.NET) - All levels","[
C#

, 
ASP.NET

, 
.NET

, 
Fresher Accepted

]","
Chung cư Five Star số 2 Kim Giang, Thanh Xuan, Ha Noi
See map

","
C# programming languages:
C# programming languages.
Knowledge of JS/AngularJS is an advantage. ..
Emphasis on object-oriented programming and clean code.
Ability to refactor existing code. 
Technology: basic knowledge of web technologies:
.NET Framework/.NET Core 
WPF - MVVM, NuGet, Unity, Git
ASP.NET WebServices/WebAPI, WebApp, Angular, PWA O XML/JSON
Flutter/Blazor is an advantage 
Basic knowledge of relational databases:
Oracle PL/SQL or Microsoft SQL Transact SQL.
Knowledge of NoSQL (MongoDB/CosmosDB) is an advantage.
Responsibility, ability to work independently and in a team.
Willingness to learn and develop.
Knowledge of the English language is an advantage.

"
8,.NET Developer (All levels),"[
.NET

, 
C#

, 
ASP.NET

, 
Fresher Accepted

]","
TPS Software - Floor 3 - Block C, Waseco Building, 10 Phổ Quang, phường 2, Tan Binh, Ho Chi Minh
See map

","
Required skills

1+ year programming experience in back-end development, especially C#/ ASP.NET MVC/ .NET Core.
Strong database knowledge (SQL Server preferred).
Knowledge of object oriented design and design patterns.
Proven experience with one of front-end frameworks such as AngularJS, VueJS, ReactJS.

Strong background with responsive design using bootstrap.
Create unit tests for development code.
Proactive, ability to analyze and solve problems.
Be able to read and write English.

"
9,.Net Developers (Junior to Senior),"[
.NET

, 
MySQL

, 
C#

]","
182 Lê Đại Hành, District 11, Ho Chi Minh
See map

","
Technical attributes: - Have experience working with .NET development in C# - Strong technical skills in ASP.NET, Web API, MVC, or other .NET frameworks and .NET development tools. - Working experience with Microsoft SQL Server, SQL queries, SQL Server Database Development- Ability to participate in code reviews and be able to work autonomously. - Strong interpersonal and communication skills using English - Experience with API integration.Additional attributes (preferred not required):- Experience in Win forms- Experience in the CI/CD process for API automated deployment- Experience in other technology languages (e.g.: JavaScript, HTML5, CSS3 etc.) - Working knowledge or experience in ERP type systems - Working knowledge or experience in Accounting or Retail POS systems - Experience with workflow based systems - Experience with Agile Development methodologies - Experience in a fast paced production environment managing large and complex volumes of data
"
